"Hot Spots - Method","Self time [%]","Self time","Invocations"
"cvm.sb.manager.SignalInstance.<init>(Object, String, java.util.Map)","3.309453E-4","0.037 ms","14"
"cvm.sb.resource.bridge.CallExecutor.__$swapInit()","3.309453E-4","0.037 ms","1"
"cvm.sb.manager.BrokerManager$MainManagerContext.<init>(cvm.sb.manager.BrokerManager, cvm.sb.manager.BrokerManager.1)","3.2200085E-4","0.036 ms","8"
"cvm.sb.autonomic.AutonomicManager.setContext(cvm.sb.manager.ManagerContext)","3.2200085E-4","0.036 ms","8"
"cvm.sb.manager.BrokerManager.sendEvent(cvm.sb.manager.SignalInstance)","3.2200085E-4","0.036 ms","2"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.processPacket(String)","3.2200085E-4","0.036 ms","2"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.$get$$class$cvm$sb$resource$bridge$CallExecutor$_getMethod_closure1()","3.1305637E-4","0.035 ms","2"
"cvm.sb.policy.metadata.Metadata.getFeatures()","3.1305637E-4","0.035 ms","8"
"cvm.sb.state.StateManager.getTypes()","3.1305637E-4","0.035 ms","12"
"cvm.sb.expression.ContextProviderWrapper.class$(String)","3.1305637E-4","0.035 ms","2"
"cvm.sb.policy.PolicyManager.getConformingObjects(java.util.TreeSet, String, String, java.util.Map)","3.1305637E-4","0.035 ms","3"
"cvm.sb.expression.CombinationEvaluator$evaluateExpression.callStatic(Class, Object, Object)","3.0411192E-4","0.034 ms","2"
"cvm.service.UserIDMappingTable.getInstance()","3.0411192E-4","0.034 ms","4"
"cvm.sb.expression.StateTypeManagerContext$_entrySet_closure1.$get$$class$cvm$sb$expression$StateTypeManagerContext$_entrySet_closure1()","3.0411192E-4","0.034 ms","2"
"cvm.sb.expression.ContextBinder.this$2$doGetBindable(sb.base.context.State)","2.9516744E-4","0.033 ms","7"
"cvm.sb.expression.ConditionEvaluator$_evaluate_closure1.class$(String)","2.8622296E-4","0.032 ms","1"
"cvm.sb.state.StateTypeManager$getAll.call(Object)","2.8622296E-4","0.032 ms","7"
"cvm.sb.manager.BrokerManager$MainManagerContext.getResourceManager()","2.8622296E-4","0.032 ms","5"
"cvm.sb.expression.CombinationEvaluator.$createCallSiteArray_1(String[])","2.772785E-4","0.031 ms","2"
"cvm.sb.expression.EvaluationResult$isTrue.call(Object)","2.772785E-4","0.031 ms","2"
"cvm.sb.expression.ContextBinder.$get$$class$cvm$sb$manager$ManagerContext()","2.772785E-4","0.031 ms","8"
